"PName","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"McKinley Wright IV","PG","DAL",27,46.9,32.1,68.4,-110,4.2,1.7,2.1,0.7,0.3,0.2
"Robin Lopez","C","CLE",37,64,50,77.8,-58,3,1.4,0.5,0.7,0.1,0.2
"Dominick Barlow","F","SAS",28,53.5,0,72,-108,3.9,3.6,0.9,0.5,0.4,0.7
"Ish Smith","PG","DEN",43,39.7,16.7,50,-36,2.5,1.3,2.3,1,0.2,0.2
"Jake LaRavia","F","MEM",35,38.9,33.8,77.8,-78,3,1.8,0.6,0.5,0.3,0.1
"Boban Marjanovic","C","HOU",31,68.3,0,74.1,66,3.3,1.9,0.3,0.5,0.2,0.1
"Gary Payton II","SG","GSW",22,59.4,50,85.7,39,4.6,3.1,1.4,0.7,1,0.2
"Kessler Edwards","SF","SAC",36,38.7,30.9,73.3,5,2.8,1.7,0.6,0.4,0.4,0.2
"Cody Zeller","C","MIA",15,62.7,0,68.6,-48,6.5,4.3,0.7,0.9,0.2,0.3
"Jamal Cain","F","MIA",18,56.1,35,77.3,22,5.4,2.9,0.7,0.3,0.6,0.1
"Theo Pinson","G","DAL",40,35.6,35.5,84.6,-50,2.4,1.6,1.1,0.3,0.1,0
"Skylar Mays","SG","POR",6,50,46.2,92.3,-74,15.3,3.2,8.3,1.7,1,0.2
"Bryn Forbes","SG","MIN",25,36.1,30.4,100,-48,3.6,0.6,0.7,0.5,0.3,0.1
"Davon Reed","SG","LAL",43,33.3,37,66.7,-99,2.1,1.4,0.5,0.5,0.3,0.1
"Frank Kaminsky","PF","HOU",36,49.2,39.4,87.5,-4,2.5,1.4,0.9,0.2,0.2,0.1
