"PLAYER_NAME","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","POS","Team","GP","FG%","3P%","FT%","+/-","PPG","RPG","APG","TPG","SPG","BPG"
"Pascal Siakam",80,230,"New Mexico State","Cameroon","2016","1","27","PF","TOR",71,48,32.4,77.4,123,24.2,7.8,5.8,2.4,0.9,0.5
"Pat Connaughton",77,209,"Notre Dame","USA","2015","2","41","SG","MIL",61,39.2,33.9,65.9,134,7.6,4.6,1.3,0.5,0.6,0.2
"Patrick Baldwin Jr.",81,220,"Wisconsin-Milwaukee","USA","2022","1","28","F","GSW",31,39.4,38.1,66.7,-51,3.9,1.3,0.4,0.4,0.2,0.1
"Patrick Beverley",74,180,"Arkansas","USA","2009","2","42","PG","CHI",67,40,33.5,72.3,-80,6.2,3.7,2.9,0.9,0.9,0.6
"Patrick Williams",79,215,"Florida State","USA","2020","1","4","PF","CHI",82,46.4,41.5,85.7,-142,10.2,4,1.2,1.2,0.9,0.9
"Patty Mills",72,180,"St. Mary's","Australia","2009","2","55","PG","BKN",40,41.1,36.6,83.3,-66,6.2,1.1,1.4,0.8,0.4,0.1
"Paul George",80,220,"Fresno State","USA","2010","1","10","F","LAC",56,45.7,37.1,87.1,157,23.8,6.1,5.1,3.1,1.5,0.4
"Paul Reed",81,210,"DePaul","USA","2020","2","58","SF","PHI",69,59.3,16.7,74.5,-17,4.2,3.8,0.4,0.7,0.7,0.7
"Payton Pritchard",73,195,"Oregon","USA","2020","1","26","PG","BOS",48,41.2,36.4,75,12,5.6,1.8,1.3,0.8,0.3,0
"Peyton Watson",79,200,"UCLA","USA","2022","1","30","F","DEN",23,49.2,42.9,55,-47,3.3,1.6,0.5,0.3,0.1,0.5
"PJ Dozier",78,205,"South Carolina","USA","Undrafted","Undrafted","Undrafted","G","SAC",16,30.3,12.5,0,-23,1.4,0.9,0.6,0.3,0.4,0.1
"Precious Achiuwa",80,225,"Memphis","Nigeria","2020","1","20","PF","TOR",55,48.5,26.9,70.2,-37,9.2,6,0.9,1.1,0.6,0.5
"Quentin Grimes",77,210,"Houston","USA","2021","1","25","SG","NYK",71,46.8,38.6,79.6,186,11.3,3.2,2.1,1,0.7,0.4
"Quenton Jackson",77,173,"Texas A&M","USA","Undrafted","Undrafted","Undrafted","G","WAS",9,45.2,8.3,77.3,-17,6.2,0.9,1.7,0.4,0.4,0.1
"R.J. Hampton",76,175,"None","USA","2020","1","24","PG","DET",47,43,35.3,75,-140,6.4,1.9,1.1,0.9,0.6,0.2
"RaiQuan Gray",79,269,"Florida State","USA","2021","2","59","F","BKN",1,50,40,100,-14,16,9,7,4,0,1
"Raul Neto",74,180,"None","Brazil","2013","2","47","PG","CLE",48,51.8,28.6,91.2,11,3.3,1,1.6,0.5,0.4,0.1
"Reggie Jackson",74,208,"Boston College","USA","2011","1","24","PG","DEN",68,41.1,33.3,91,-79,10.2,2.1,3.4,1.7,0.7,0.1
"Richaun Holmes",80,235,"Bowling Green","USA","2015","2","37","F","SAC",42,61.8,62.5,78.9,-69,3.1,1.9,0.2,0.3,0.1,0.3
"Ricky Rubio",74,190,"None","Spain","2009","1","5","PG","CLE",33,34.3,25.6,80,45,5.2,2.1,3.5,0.9,0.8,0.2
"RJ Barrett",78,214,"Duke","Canada","2019","1","3","SG","NYK",73,43.4,31,74,-62,19.6,5,2.8,2.2,0.4,0.2
"Robert Covington",79,209,"Tennessee State","USA","Undrafted","Undrafted","Undrafted","PF","LAC",48,44.5,39.7,75,-7,6,3.5,1.2,0.7,0.8,0.7
"Robert Williams III",81,237,"Texas A&M","USA","2018","1","27","C","BOS",35,74.7,0,61,173,8,8.3,1.4,1,0.6,1.4
"Robin Lopez",84,281,"Stanford","USA","2008","1","15","C","CLE",37,64,50,77.8,-58,3,1.4,0.5,0.7,0.1,0.2
"Rodney McGruder",76,205,"Kansas State","USA","Undrafted","Undrafted","Undrafted","G","DET",32,40.8,42.3,81.8,-44,5.7,2.3,0.9,0.3,0.5,0
"Romeo Langford",77,216,"Indiana","USA","2019","1","14","SG","SAS",43,46.7,26.2,69.6,-180,6.9,2.7,1.2,0.7,0.6,0.3
"Ron Harper Jr.",77,245,"Rutgers","USA","Undrafted","Undrafted","Undrafted","F","TOR",9,50,33.3,100,19,2.2,0.8,0.4,0,0,0.1
"Royce O'Neale",78,226,"Baylor","USA","Undrafted","Undrafted","Undrafted","PF","BKN",76,38.6,38.9,72.5,78,8.8,5.1,3.7,1.5,0.9,0.6
"Rudy Gay",80,250,"Connecticut","USA","2006","1","8","SF","UTA",56,37.8,25.2,85.7,57,5.2,2.9,1,0.7,0.3,0.3
"Rudy Gobert",85,258,"None","France","2013","1","27","C","MIN",70,65.9,0,64.4,-7,13.4,11.6,1.2,1.7,0.8,1.4
"Rui Hachimura",80,230,"Gonzaga","Japan","2019","1","9","PF","LAL",63,48.6,31.9,73.9,-28,11.2,4.5,0.9,0.8,0.3,0.4
"Russell Westbrook",75,200,"UCLA","USA","2008","1","4","PG","LAC",73,43.6,31.1,65.6,-21,15.9,5.8,7.5,3.5,1,0.5
"Ryan Arcidiacono",75,195,"Villanova","USA","Undrafted","Undrafted","Undrafted","G","POR",20,24.3,34.8,0,-40,1.3,0.8,1.1,0.3,0.2,0
"Ryan Rollins",75,180,"Toledo","USA","2022","2","44","G","GSW",12,35,33.3,100,-47,1.9,1,0.5,1.3,0.1,0.1
"Saben Lee",74,183,"Vanderbilt","USA","2020","2","38","G","PHX",25,40.5,36.7,73.7,-30,6,1.8,2.7,1,0.8,0
"Saddiq Bey",79,215,"Villanova","USA","2020","1","19","SF","ATL",77,42.2,36.1,86.1,-147,13.8,4.7,1.5,0.9,0.9,0.2
"Sam Hauser",79,217,"Virginia","USA","Undrafted","Undrafted","Undrafted","SF","BOS",80,45.5,41.8,70.6,219,6.4,2.5,0.9,0.4,0.4,0.3
"Sam Merrill",76,205,"Utah State","USA","2020","2","60","SG","CLE",5,40.9,27.8,100,-5,5,1.8,1,0,0.8,0
"Sandro Mamukelashvili",82,240,"Seton Hall","Georgia","2021","2","54","PF","SAS",43,42.2,30.3,68.4,-114,6.1,4.3,1.4,0.8,0.3,0.3
"Santi Aldama",84,215,"Loyola-Maryland","Spain","2021","1","30","PF","MEM",77,47,35.3,75,91,9,4.8,1.3,0.8,0.6,0.6
"Scottie Barnes",80,225,"Florida State","USA","2021","1","4","SF","TOR",77,45.6,28.1,77.2,175,15.3,6.6,4.8,2,1.1,0.8
"Scotty Pippen Jr.",73,170,"Vanderbilt","USA","Undrafted","Undrafted","Undrafted","G","LAL",6,33.3,33.3,55.6,-1,2.3,0.7,0.3,0.3,0.3,0.2
"Serge Ibaka",83,235,"None","Democratic Republic of the Congo","2008","1","24","F","MIL",16,48.1,33.3,61.5,-25,4.1,2.8,0.2,0.7,0.1,0.4
"Seth Curry",73,185,"Duke","USA","Undrafted","Undrafted","Undrafted","SG","BKN",61,46.3,40.5,92.7,-69,9.2,1.6,1.6,0.8,0.6,0.1
